Brewer,Name,Alc,Country,Rating,price
Thisted bryghus,Classic,"4,6",Danmark,6,
Thisted bryghus,Økologiks Humle,"5,8",Danmark,7,
Thisted bryghus,Jack & beer,8,Danmark,7,
Thisted bryghus,Limfjords porter,"7,9",Danmark,6,
Thisted bryghus,Limfjordes porter Whisky fad 49,"8,5",Danmark ,8,
Thisted bryghus,Gertrud,"7,9",Danmark,8,
Thisted bryghus,Øko IPA,"5,8",Danmark,4,
Thisted bryghus,Pilsner,"4,6",Danmark,6,
Thisted bryghus,Guld porse,"5,8",Danmark,7,
Thisted bryghus,Veteranøl,"4,9",Danmark ,8,
Thisted bryghus,Julesten,8,Danmark ,7,
Thisted bryghus,Julefnug,"5,8",Danmark ,6,
Thisted bryghus,Bock,7,Danmark ,7,
Guinness,Draught stout,"4,2",England,7,
Marstons,Oyster Stout,"4,5",England,6,
Carlsberg ,Elefant,"7,2",Danmrk,7,
Carlsberg ,Tuborg mango guld,"5,6",Danmark,1,
Tuborg,Guldame,"5,6",Danmark,6,
Tuborg,Rød tuborf,"4,3",Danmark,8,
Svaneke,Mørk guld,"5,7",Danmark,8,
Svaneke,Brown ale,5,Danmark,8,
Svaneke,Classic,"4,6",Danmark,6,
Svaneke,Rød jul,"5,7",Danmark ,5,
Svaneke,Craft pilsner øko,"4,6",Danmark ,6,
Wilemoes,Lager,"5,5",Danmark,2,
Wilemoes,Stout,6,Danmark,6,
Wilemoes,Saison,"5,7",Danmark,7,
Wilemoes,Porter,"8,5",Denmark ,6,
Wilemoes,Brown ale,"5,6",Danmark,6,
Dansk,Dansk gukd,"5,7",Danmark,5,
Dansk,Pilsner,"4,6",Dannark,3,
Erdinger,Dunkel weissbräu,"5,3",Tyskland,8,
Erdinger,Weisbeer,"5,3",tyskland ,7,
Schiøtz,Dyvsort,"6,2",Danamrk,6,
Schiøtz,Bohemian Pils,5,Danmark ,5,
Schiøtz,Mørk Mumme ,"6,5",Danmark ,8,
Halsnæs,Porter,"6,5",Danmark,6,
Halsnæs,røde ravn,6,Danmark,6,
Halsnæs,Store Knud,"4,9",Danmark ,6,
Halsnæs,Dyssekilde,"5,8",Danmark ,6,
Halsnæs,Vådbinder,"7,6",Danmark,6,
