,brewer,name,alc,country,rating,price
0,Thisted bryghus,Classic,4.6,denmark,6,
1,Thisted bryghus,Økologiks Humle,5.8,denmark,7,
2,Thisted bryghus,Jack & beer,8,denmark,7,
3,Thisted bryghus,Limfjords porter,7.9,denmark,6,
4,Thisted bryghus,Limfjordes porter Whisky fad 49,8.5,denmark,8,
5,Thisted bryghus,Gertrud,7.9,denmark,8,
6,Thisted bryghus,Øko IPA,5.8,denmark,4,
7,Thisted bryghus,Pilsner,4.6,denmark,6,
8,Thisted bryghus,Guld porse,5.8,denmark,7,
9,Thisted bryghus,Veteranøl,4.9,denmark,8,
10,Thisted bryghus,Julesten,8,denmark,7,
11,Thisted bryghus,Julefnug,5.8,denmark,6,
12,Thisted bryghus,Bock,7,denmark,7,
13,Guinness,Draught stout,4.2,england,7,
14,Marstons,Oyster Stout,4.5,england,6,
15,Carlsberg,Elefant,7.2,denmark,7,
16,Carlsberg,Tuborg mango guld,5.6,denmark,1,
17,Tuborg,Guldame,5.6,denmark,6,
18,Tuborg,Rød tuborf,4.3,denmark,8,
19,Svaneke,Mørk guld,5.7,denmark,8,
20,Svaneke,Brown ale,5,denmark,8,
21,Svaneke,Classic,4.6,denmark,6,
22,Svaneke,Rød jul,5.7,denmark,5,
23,Svaneke,Craft pilsner øko,4.6,denmark,6,
24,Wilemoes,Lager,5.5,denmark,2,
25,Wilemoes,Stout,6,denmark,6,
26,Wilemoes,Saison,5.7,denmark,7,
27,Wilemoes,Porter,8.5,denmark,6,
28,Wilemoes,Brown ale,5.6,denmark,6,
29,Dansk,Dansk gukd,5.7,denmark,5,
30,Dansk,Pilsner,4.6,denmark,3,
31,Erdinger,Dunkel weissbräu,5.3,german,8,
32,Erdinger,Weisbeer,5.3,german,7,
33,Schiøtz,Dyvsort,6.2,denmark,6,
34,Schiøtz,Bohemian Pils,5,denmark,5,
35,Schiøtz,Mørk Mumme ,6.5,denmark,8,
36,Halsnæs,Porter,6.5,denmark,6,
37,Halsnæs,røde ravn,6,denmark,6,
38,Halsnæs,Store Knud,4.9,denmark,6,
39,Halsnæs,Dyssekilde,5.8,denmark,6,
40,Halsnæs,Vådbinder,7.6,denmark,6,
41,Halsnæs,Storms end,6.8,denmark,6,
42,Pauliner,Hefe,5,german,6,
43,Pauliner,Weissbier,5.5,german,6,
44,Berliner,IPA,7,german,7,
45,Märkischer Landmann,Dunkel,4.9,german,9,
46,Biermischgetränk,cola,3.1,german,1,
47,Czech,1795,4.7,german,6,
48,Ørbæk,Dark horse,4.8,denmark,8,
49,Ørbæk,Ørsted brune,6.5,denmark,5,
50,Kaiserdom,Dark lager,4.7,german,7,
51,Kaiserdom,Kellerbier,4.8,german,6,
52,Jacobsen,Broen ale,6,denmark,7,
53,Congerlo,Triple ,9,belgian,8,
54,Mikkeler,Bog worster ,15,denmark,9,
55,Mikkeler,Black stout,15,denmark,1,
56,Mikkeler,Santas Lilttie helper,11,denmark,9,
57,Mercurial,Mælk,12.2,denmark,7,
58,na,125 år,6.5,denmark,8,
59,na,mcalmer,7.2,denmark,7,
60,na,Edderkop ,5.7,denmark,7,
61,Skovlysten,Julebryg.,5.5,denmark,5,
62,Baladin,Leön,9,italy,8,
63,Baladin,Super ,8,italy,7,
64,Baladin,Nöel,8.5,italy,9,
65,Trapist Rochefort,Double,7,belgian,7,
66,Trapist Rochefort,Quadrupel,10,belgian,8,
67,Trapist Rochefort,Richefort 10,11.3,belgian,10,
68,Braunstein,Brown Ale ,6,denmark,7,
69,Braunstein,Julestjerne,7.5,denmark,5,
70,BB,viking ipa,6,denmark,4,
71,BB,Porter,7.2,denmark,7,
72,nan,dark,6.3,denmark,6,
73,nan,RED,5,denmark,5,
74,Midtfyns brghus,Stout ,7.2,denmark,7,
75,Bitburger,Primum pils,4.8,german,6,
76,Faxe,Mørk lager,10,denmark,4,
77,Refsvindinge,Kåskade,5.7,denmark,8,
78,Blance,1664,5,german,1,
79,Albini,Amerikansk Lager,5,denmark,4,
80,Godt bryg,Albani 1859,5.2,denmark,6,
81,Godt bryg,Horsens lager,4.5,denmark,7,
82,Godt bryg,Nyborg bayersk pilsner,4.9,denmark,6,
83,Godt bryg,Carlsminde Jule bryg,7,denmark,8,
84,Frejdahl,Galar,4.8,denmark,6,
85,Amager bryghus,Panzer Pils,4.6,denmark,6,
86,Amager bryghus,Demon juice,7,denmark,1,
87,Nørrebro bryghus,Ravsborg,5.5,denmark,8,
88,Frejdahl,Gudmund,7,denmark,8,
89,König,Köbig Dunkel,5.1,german,8,
90,König,Weisberg,5.5,german,7,
91,Innis & Gunn,Bourbon Ba Ale,6.6,usa,4,
92,Robinson,Tropper pils,4.7,england,6,
93,Fur,rynkeby,6.7,denmark,5,
94,Fur,Pilsner,4.6,denmark,7,
95,Fur,Vulcano Classic,4.7,denmark,6,
96,Fur,Schwarzbier,5,denmark,6,
97,Herreford,Brown ale,4.9,denmark,8,
98,Littrup,Hvede ale,4.8,denmark,4,
99,Christiania,pilsner,4.6,denmark,6,
100,Cerveza,Cortes,4.5,poland,1,
101,Budweisser,King of beers (lorte navn),5,usa,2,
102,Steen brugge,Belgien abbey beer,6.5,belgian,6,
103,Alfheim,Fjalar,4.8,denmark,5,
104,Corona,Corona extra,4.5,mexico,4,
105,Warsteiner,Premium beer,4.8,german,8,
106,Hansen Braueri,Pilsner,4.5,german,7,
107,Hansen Braueri,Swarzbier,4.5,german,8,
108,Tennents,Scottish Beer,6,german,7,
109,Tennents,Samichlans ,14,german,6,
110,Aura,Damm,5.4,estonia,3,
111,Plzeñ,pilsner,4.4,Czech ,6,
112,Keizer Karl,Ruby red,8.5,belgian,7,
113,Affligem,Blonde,6.7,belgian,6,
114,Affligem,Double,6.7,belgian,7,
115,Skanderborg,Juleknas Brownale,7,denmark,7,
116,Skanderborg,Rød Jul,5.4,denmark,6,
117,Skanderborg,Humlesne,6.6,denmark,4,
118,Skanderborg,Blå jul,5.2,denmark,6,
119,Kloster,Svendeøl,5.3,denmark,5,
120,Raven,Hornbeer,8.7,denmark,7,
121,Gouden,Carolus Tripel,9,belgian,8,
122,Vestfyen,Prins Kristian,5.7,denmark,6,
123,Vestfyen,SouthWorld,7.2,england,6,
124,Refsvindinge,Skibsøl,2.4,denmark,2,
125,Refsvindinge,Røde mor,4.6,denmark,3,
126,Hancock,Dark,9.5,denmark,10,
127,Hancock,Saaz,8.1,denmark,9,
128,Hancock,Black lager,5,denmark,8,
129,Rørvig Brygus,Odsherreds Dark ale,6.2,denmark,6,
130,Bryghuset solvang,Lys,5.5,denmark,5,
131,Bryghuset solvang,Gylden,4.5,denmark,6,
132,na,Tinsoldat ,5.7,denmark,6,
133,na,Prinsessen på ærten,3.5,denmark,1,
134,na,Tribute 47,7.7,denmark,7,
135,na,Corsendonk,7.5,belgian,7,
136,na,Sct. peter's Chrismats Ale,7,england,6,
137,na,Krin Ichiban,5,china,4,
138,To Øl,Brokilde brown,6.5,denmark,6,
139,Hertog Jan,Triple,8.5,netherland,7,
140,Nibe,Styrbord,5.5,denmark,6,
141,Kwak,Amber beer,8.4,belgian,5,
142,Westmalle,Triple,9.5,belgian,7,
143,StFeuillien,Quadrupel,11,belgian,7,
144,Indslev Beyggeri,Svane,5.3,belgian,7,
145,Indslev Beyggeri,Tongerlo,8,belgian,9,
146,Indslev Beyggeri,Tripel ,9,belgian,7,
147,nan,Pokal Classic,4.6,denmark,3,4.25
148,nan,Calrsberg pils.,4.6,denmark,7,6.25
149,nan,Dansk guld,5.7,denmark,7,4.25
150,nan,Dansk pilsner,4.6,denmark,9,2
151,nan,Bruatlis,7.7,denmark,10,7.25
152,nan,Humleby ekstra strong,8,denmark,4,7
153,nan,Black bird,4.8,denmark,6,
154,nan,Den søde julegås,7.8,denmark,7,
155,nan,Stærke Julius,8.5,denmark,8,
156,nan,Brun sovs ,4.8,denmark,3,
157,nan,Streng ale,7,denmark,7,
158,nan,Ale No. 24,6.5,denmark,7,
159,nan,Leffe noel,6.6,denmark,7,
